,label,title,description,generated_description
69408,1,Cambodia seen as potential terror haven,"Cambodia needs international help in erecting defences against terrorism or it could become a safe haven for al Qaeda and similar groups, Chile #39;s UN ambassador has warned.","Cambodia is seen as a potential terror haven by the international community, but it is also being viewed as a safe haven for terrorists."
77594,4,NASA Aims for May Space Shuttle Launch (Reuters),"Reuters - NASA, recovering from the\four hurricanes that halted work at its Florida spaceport, said\on Friday it has set a launch target in May, 2005, for the\first space shuttle flight since the 2003 Columbia disaster.","Reuters - NASA is aiming to launch aspace shuttle in May, the agency said on Tuesday, a day after the space agency said it had reached an agreement with the U.S. government on a plan to build a space shuttle."
104138,4,Chip Sales Rise 1.5 Pct in October from September,"   NEW YORK (Reuters) - Worldwide semiconductor sales rose a  scant 1.5 percent in October, to \$18.8 billion from \$18.5  billion in September, as many chip users pared bloated  inventories, the Semiconductor Industry Association said on  Friday.","NEW YORK (Reuters) - U.S. chip sales rose 1.5 percent in October from September, the government said on Wednesday, citing strong demand for chips in the semiconductor industry."
65969,1,Lawmakers request CIA's 9/11 report (Chicago Tribune),"Chicago Tribune - The ranking members of the House Intelligence Committee have asked the CIA to turn over an internal report on whether agency employees should be held accountable for intelligence failures leading up to the Sept. 11 attacks, congressional officials said Tuesday.","Chicago Tribune - The U.S. Senate on Tuesday asked the CIA to release a report on the Sept. 11 attacks that killed more than 2,000 people in Iraq, a move that would have sparked a national debate over whether the report should be released."
63919,3,Yukos asks JPMorgan Case for second assement ahead of auction &lt;b&gt;...&lt;/b&gt;,"MOSCOW : The Russian oil giant Yukos oil giant has asked US investment bank JPMorgan Chase to issue a second valuation of its top producer ahead of its expected auction by the state, the Interfax news agency quoted unnamed sources as saying.","ATHENS (Reuters) - Yukos asked JPMorgan Chase amp; Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=JPM.N target=/stocks/quickinfo/fullquote""&gt;JPM.N&lt;/A&gt; for a second assement ahead of the auction of its shares in a bid to buy the Russian bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt bankrupt."
34460,2,Twins make it official,"While most of his players quietly shuffled into the clubhouse, White Sox manager Ozzie Guillen remained in the dugout Monday night and watched the rival Twins celebrate.","The Minnesota Twins have made it official that the team will be able to play in the World Series on Sunday. The announcement comes as the team #39;s first-round pick, the Minnesota Twins, is officially announced."
15341,2,AL Wrap: Monroe Drives in Five Runs as Tigers Rout Royals, NEW YORK (Reuters) - Craig Monroe homered twice to plate  five runs and carry the Detroit Tigers to a 9-1 road win over  the Kansas City Royals in the only scheduled American League  game Monday.,ATHENS (Sports Network) - The Detroit Tigers threw a five-run homer to lead the team to a 6-3 victory over the Kansas City Royals in the American League Championship Series on Saturday.
67669,2,Big one early in the Big East,"It may be early in the Big East Conference race, but the winner of Thursday night #39;s Syracuse-West Virginia game (7:30 pm ET, ESPN) will be the favorite and control its own destiny in terms ",ATHENS (Reuters) - The New York Yankees were the first team to win the Big East in more than a decade.
15443,1,First round of Pak-India bus talks concluded,NEW DELHI: The first round of the two days talks on Muzaffarabad-Srinagar bus service between Pakistan and India was concluded today (Tuesday) in New Delhi.,"The first round of talks between Pakistan and India on the issue of a bus service between the two countries has concluded, the government said."
73078,4,Wanadoo Teams with Loudeye to Extend Music Service (Reuters),"Reuters - Wanadoo has signed a deal with U.S.-based\digital media firm Loudeye  to bring its online music\service to subscribers in the Netherlands and Spain, the\Internet division of France Telecom  said on Tuesday.","Reuters - Wanadoo Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=WYN.N target=/stocks/quickinfo/fullquote""&gt;WYN.N&lt;/A&gt; said on Thursday it will work with Loudeye Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=LOU.O target=/stocks/quickinfo/fullquote""&gt;LOU.O&lt;/A&gt;, a music service that will be used to play music from the company's music services."
12739,1,Typhoon Chaba approaches southwestern Japan (AFP),"AFP - Typhoon Chaba was approaching Japan and was expected to bring heavy rain and high winds to large areas in southwestern regions over the weekend, officials said.","AFP - Typhoon Chaba swept through Japan's western region on Tuesday, bringing heavy rains and heavy rains to the region."
106772,1,EU Peace Force to Take Over NATO Bosnia Peacekeeping," PALE, Bosnia (Reuters) - NATO peacekeepers once patrolled  this Bosnian Serb rebel stronghold in armored personnel  carriers, but the town is now so calm an EU force taking over  on Thursday could monitor it from the bar.","The European Union has agreed to send a peacekeeping force to Bosnia to take over NATO #39;s peacekeeping operations, the European Union said on Thursday."
69667,4,"PluggedIn: Wireless Companies Chat Up Teens, Young Adults (Reuters)","Reuters - The wireless industry, not content\with getting corporate executives addicted to e-mail on the go,\is setting its sights on the instant messaging generation.","Reuters - PluggedIn.com, the world's largest wirelesscommunications company, said on Wednesday it was chatting up teens and young adults about itsInternet services."
99807,2,Martin glad to see,"Sometime tonight, perhaps at tipoff, the memories may all hit Kenyon Martin at once, with the force of one of his punishing dunks.",ATHENS (Reuters) - Martin Martin was happy to be back in action at the weekend after a shaky start to the season. He said he had a good chance of winning the $1 million prize for the first time in his career.
79658,3,Crude prices fall to near \$50 a barrel,Oil futures prices sank to their lowest level in nearly a month yesterday on a continuation of the sell-off sparked last week by rising US supplies of crude ,"Crude oil futures fell to a new record near $50 a barrel on Wednesday, as the US economy struggled to keep pace with rising oil prices."
